,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
290,manta,98,RO,1557066553,83,45.1,24.1,57.97,9.78
291,nanortalik,100,GL,1557066545,86,60.14,-45.24,38.53,5.64
292,paamiut,73,GL,1557066554,89,61.99,-49.67,37.45,17.22
293,narsaq,100,GL,1557066554,87,60.91,-46.05,40.69,7.85
294,chokurdakh,95,RU,1557066555,92,70.62,147.9,26.29,10.78
295,sao joaquim,91,BR,1557066555,86,-28.29,-49.93,72.55,3.58
296,farah,5,AF,1557066555,15,32.37,62.11,88.39,5.08
297,conakry,20,GN,1557064800,62,9.52,-13.7,87.8,11.41
298,north platte,20,US,1557066316,82,41.12,-100.77,55.4,6.93
299,mecca,0,SA,1557066503,25,21.43,39.83,97.57,6.85
300,port-gentil,75,GA,1557064800,79,-0.72,8.78,86.0,9.17
301,sattenapalle,80,IN,1557066556,20,16.39,80.15,99.91,10.04
302,nkhata bay,20,MW,1557066556,74,-11.61,34.3,70.57,7.52
303,marsh harbour,8,BS,1557066556,83,26.54,-77.06,78.13,12.1
304,pierre,1,US,1557066360,65,44.37,-100.35,46.99,17.22
305,la ronge,20,CA,1557064800,68,55.1,-105.3,28.4,6.93
306,minab,0,IR,1557064800,38,27.15,57.07,91.4,4.7
307,sungairaya,78,ID,1557066558,72,0.7,108.9,86.05,11.86
308,bom jesus,54,BR,1557066559,49,-9.08,-44.36,88.39,7.05
309,pandan,0,PH,1557066560,72,11.72,122.09,83.71,10.74
310,khasan,77,RU,1557066560,60,42.43,130.64,42.31,9.93
311,maningrida,0,AU,1557066560,76,-12.05,134.23,77.41,12.21
312,bandarbeyla,3,SO,1557066560,63,9.49,50.81,84.79,14.29
313,montana,70,BG,1557066507,99,43.41,23.22,68.0,1.95
314,pilar,90,AR,1557066499,100,-34.46,-58.91,66.2,9.17
315,buraydah,20,SA,1557064800,38,26.33,43.97,93.2,9.17
316,durban,0,FR,1557066484,50,43.54,0.58,61.0,9.17
317,kruisfontein,100,ZA,1557066607,76,-34.0,24.73,63.55,6.31
318,sarangani,2,PH,1557066608,74,5.4,125.46,84.79,8.59
319,villa constitucion,90,AR,1557066520,88,-33.23,-60.33,70.0,3.36
320,astana,0,KZ,1557064800,16,51.13,71.43,68.0,4.47
321,kuching,75,MY,1557064800,100,1.56,110.34,77.0,2.71
322,lima,20,PE,1557066305,78,-12.06,-77.04,77.0,4.7
323,gornyy,100,RU,1557066612,82,51.76,48.54,59.77,8.03
324,tawang,58,BT,1557066612,89,27.59,91.87,52.21,1.54
325,strezhevoy,0,RU,1557064800,47,60.73,77.6,55.4,4.47
326,touros,75,BR,1557064800,83,-5.2,-35.46,84.2,13.87
327,bastia,75,IT,1557066611,62,44.6,8.98,59.0,18.34
328,garowe,6,SO,1557066392,28,8.41,48.48,94.33,4.21
329,isangel,0,VU,1557066614,79,-19.55,169.27,78.67,14.74
330,bud,75,NO,1557065858,86,62.91,6.91,41.0,8.05
331,balikpapan,40,ID,1557064800,94,-1.24,116.86,82.4,3.36
332,shizunai,3,JP,1557066615,61,42.33,142.37,50.23,7.92
333,bibiani,64,GH,1557066615,31,6.45,-2.31,99.19,3.62
334,binzhou,37,CN,1557065892,36,37.38,117.96,57.99,1.01
335,amapa,75,HN,1557064800,55,15.09,-87.97,89.6,11.41
336,iqaluit,40,CA,1557066162,86,63.75,-68.52,28.4,8.05
337,pacific grove,90,US,1557066615,66,36.62,-121.92,54.0,9.17
338,kandrian,41,PG,1557066616,95,-6.21,149.55,73.09,2.62
339,mbocayaty,70,PY,1557066617,72,-25.7,-56.4,81.91,6.67
